family	family_jp	common_name	s_name
Lycopodiaceae	ヒカゲノカズラ	サカバスギラン	Huperzia × muramatsui
Lycopodiaceae	ヒカゲノカズラ	ボウカズラ	Huperzia carinata
Lycopodiaceae	ヒカゲノカズラ	スギラン	Huperzia cryptomerina
Lycopodiaceae	ヒカゲノカズラ	コウヨウザンカズラ	Huperzia cunninghamioides
Lycopodiaceae	ヒカゲノカズラ	ヒモスギラン	Huperzia fargesii
Lycopodiaceae	ヒカゲノカズラ	ナンカクラン	Huperzia fordii
Lycopodiaceae	ヒカゲノカズラ	ナガバスギラン	Huperzia jejuensis
Lycopodiaceae	ヒカゲノカズラ	ヒメスギラン	Huperzia miyoshiana
Lycopodiaceae	ヒカゲノカズラ	ヨウラクヒバ	Huperzia phlegmaria
Lycopodiaceae	ヒカゲノカズラ	スギゴケトウゲシバ	Huperzia quasipolytrichoides
Lycopodiaceae	ヒカゲノカズラ	ヒメヨウラクヒバ	Huperzia salvinioides
Lycopodiaceae	ヒカゲノカズラ	コスギラン	Huperzia selago
Lycopodiaceae	ヒカゲノカズラ	エゾノコスギラン	Huperzia selago
Lycopodiaceae	ヒカゲノカズラ	チシマスギラン	Huperzia selago
Lycopodiaceae	ヒカゲノカズラ	コスギラン	Huperzia selago var. appressa
Lycopodiaceae	ヒカゲノカズラ	エゾコスギラン	Huperzia selago var. patens
Lycopodiaceae	ヒカゲノカズラ	チシマスギラン	Huperzia selago var. selago
Lycopodiaceae	ヒカゲノカズラ	トウゲシバ	Huperzia serrata
Lycopodiaceae	ヒカゲノカズラ	ホソバトウゲシバ	Huperzia serrata
Lycopodiaceae	ヒカゲノカズラ	ヒロハトウゲシバ	Huperzia serrata
Lycopodiaceae	ヒカゲノカズラ	オニトウゲシバ	Huperzia serrata
Lycopodiaceae	ヒカゲノカズラ	ヒロハトウゲシバ	Huperzia serrata var. intermedia
Lycopodiaceae	ヒカゲノカズラ	ヒロハノトウゲシバ	Huperzia serrata var. intermedia
Lycopodiaceae	ヒカゲノカズラ	オニトウゲシバ	Huperzia serrata var. longipetiolata
Lycopodiaceae	ヒカゲノカズラ	チャボトウゲシバ	Huperzia serrata var. myriophyllifolia
Lycopodiaceae	ヒカゲノカズラ	ホソバトウゲシバ	Huperzia serrata var. serrata
Lycopodiaceae	ヒカゲノカズラ	ヒロハノトウゲシバ	Huperzia serrata var. serrata f. intermedia
Lycopodiaceae	ヒカゲノカズラ	ヒモラン	Huperzia sieboldii
Lycopodiaceae	ヒカゲノカズラ	イワヒモ	Huperzia sieboldii
